student_id,student_name,division,course_code,course_name,faculty_id,faculty_name,faculty_email,class_date,is_present,classes_attended,total_classes,attendance_percentage,isa1_score,isa2_score,assignment_score,total_score,performance_status,last_updated
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-04,False,0,30,0.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-09,True,1,30,3.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-11,True,2,30,6.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-16,True,3,30,10.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-18,True,4,30,13.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-23,False,4,30,13.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-25,True,5,30,16.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-09-30,True,6,30,20.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-02,True,7,30,23.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-07,True,8,30,26.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-09,True,9,30,30.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-14,True,10,30,33.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-16,True,11,30,36.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-21,True,12,30,40.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-23,True,13,30,43.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-28,True,14,30,46.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-10-30,True,15,30,50.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-04,True,16,30,53.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-06,True,17,30,56.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-11,True,18,30,60.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-13,True,19,30,63.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-18,True,20,30,66.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-20,True,21,30,70.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-25,True,22,30,73.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-11-27,True,23,30,76.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-12-02,True,24,30,80.0,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-12-04,True,25,30,83.33,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-12-09,True,26,30,86.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-12-11,False,26,30,86.67,1,3,1,5,Below Threshold,2024-12-03
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,2024-12-16,True,27,30,90.0,1,3,1,5,Below Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-05,False,0,30,0.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-10,True,1,30,3.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-12,True,2,30,6.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-17,True,3,30,10.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-19,True,4,30,13.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-24,False,4,30,13.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-09-26,True,5,30,16.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-01,True,6,30,20.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-03,True,7,30,23.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-08,True,8,30,26.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-10,True,9,30,30.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-15,True,10,30,33.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-17,True,11,30,36.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-22,True,12,30,40.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-24,True,13,30,43.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-29,False,13,30,43.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-10-31,True,14,30,46.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-05,False,14,30,46.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-07,False,14,30,46.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-12,True,15,30,50.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-14,True,16,30,53.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-19,True,17,30,56.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-21,True,18,30,60.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-26,True,19,30,63.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-11-28,True,20,30,66.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-12-03,True,21,30,70.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-12-05,True,22,30,73.33,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-12-10,True,23,30,76.67,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-12-12,True,24,30,80.0,14,13,10,37,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,2024-12-17,True,25,30,83.33,14,13,10,37,Above Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-04,True,1,30,3.33,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-06,True,2,30,6.67,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-11,True,3,30,10.0,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-13,True,4,30,13.33,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-18,True,5,30,16.67,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-20,True,6,30,20.0,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-25,True,7,30,23.33,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-09-27,True,8,30,26.67,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-02,True,9,30,30.0,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-04,True,10,30,33.33,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-09,True,11,30,36.67,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-11,True,12,30,40.0,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-16,True,13,30,43.33,15,6,2,23,Below Threshold,2024-12-03
STU003,Student 3,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,2024-10-18,False,13,30,43.33,15,6,2,23,Below Threshold,2024-12-03
