student_id,student_name,division,course_code,course_name,faculty_id,faculty_name,faculty_email,attendance_percentage,classes_attended,total_classes,isa1_score,isa2_score,assignment_score,total_score,performance_status,last_updated
STU001,Student 1,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,70.0,21,30,10,10,10,30,Above Threshold,2024-12-03
STU002,Student 2,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,85.71,30,35,20,1,5,26,Above Threshold,2024-12-03
STU003,Student 3,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,97.14,34,35,8,9,2,19,Below Threshold,2024-12-03
STU004,Student 4,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,73.33,22,30,10,12,6,28,Above Threshold,2024-12-03
STU005,Student 5,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,83.33,25,30,16,9,4,29,Above Threshold,2024-12-03
STU006,Student 6,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,26,30,15,19,1,35,Above Threshold,2024-12-03
STU007,Student 7,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,100.0,35,35,8,17,7,32,Above Threshold,2024-12-03
STU008,Student 8,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,97.14,34,35,18,12,8,38,Above Threshold,2024-12-03
STU009,Student 9,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,77.78,35,45,15,2,2,19,Below Threshold,2024-12-03
STU010,Student 10,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,76.67,23,30,6,17,9,32,Above Threshold,2024-12-03
STU011,Student 11,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,71.11,32,45,4,13,9,26,Above Threshold,2024-12-03
STU012,Student 12,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,82.22,37,45,14,17,1,32,Above Threshold,2024-12-03
STU013,Student 13,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,96.67,29,30,10,14,0,24,Below Threshold,2024-12-03
STU014,Student 14,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,62.86,22,35,17,19,5,41,Above Threshold,2024-12-03
STU015,Student 15,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,88.57,31,35,2,15,10,27,Above Threshold,2024-12-03
STU016,Student 16,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,57.14,20,35,5,1,0,6,Below Threshold,2024-12-03
STU017,Student 17,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,100.0,45,45,15,20,2,37,Above Threshold,2024-12-03
STU018,Student 18,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,68.57,24,35,14,4,9,27,Above Threshold,2024-12-03
STU019,Student 19,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,85.71,30,35,4,5,1,10,Below Threshold,2024-12-03
STU020,Student 20,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,70.0,21,30,6,18,7,31,Above Threshold,2024-12-03
