Student_ID,Name,Date,Course_Code,Attendance(%),Attended_Class,Division,Faculty,Classes_Attended_Past_10_Days,Overall_Attendance(%)
01fe22bcs895,Arjun Reddy,2024-11-08,INF-519,82.98,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-09,INF-519,87.26,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-10,INF-519,59.09,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-11,INF-519,71.53,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-12,INF-519,76.0,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-13,INF-519,56.63,0,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-14,INF-519,74.96,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-15,INF-519,56.14,0,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-16,INF-519,97.82,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs895,Arjun Reddy,2024-11-17,INF-519,76.13,1,D,Dr. Priya Gupta,8,80.0
01fe22bcs402,Reyansh Kulkarni,2024-11-08,INF-519,51.65,1,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-09,INF-519,80.26,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-10,INF-519,86.58,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-11,INF-519,96.54,1,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-12,INF-519,59.26,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-13,INF-519,68.56,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-14,INF-519,66.99,1,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-15,INF-519,80.25,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-16,INF-519,55.19,0,C,Prof. Aditi Verma,4,40.0
01fe22bcs402,Reyansh Kulkarni,2024-11-17,INF-519,70.63,1,C,Prof. Aditi Verma,4,40.0
01fe22bcs537,Aarav Menon,2024-11-08,INF-519,84.09,0,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-09,INF-519,77.73,0,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-10,INF-519,59.7,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-11,INF-519,54.24,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-12,INF-519,82.62,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-13,INF-519,91.0,0,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-14,INF-519,71.82,0,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-15,INF-519,99.93,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-16,INF-519,56.72,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs537,Aarav Menon,2024-11-17,INF-519,52.08,1,E,Dr. Vikram Patel,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-08,MEC-427,71.68,0,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-09,MEC-427,56.92,1,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-10,MEC-427,65.28,1,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-11,MEC-427,54.91,0,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-12,MEC-427,70.21,1,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-13,MEC-427,50.24,0,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-14,MEC-427,61.73,0,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-15,MEC-427,60.2,1,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-16,MEC-427,65.2,1,D,Dr. Ramesh Sharma,6,60.0
01fe22bcs084,Vanya Chopra,2024-11-17,MEC-427,81.12,1,D,Dr. Ramesh Sharma,6,60.0
